,,,,Ministério da Educação - MEC,,,,,,,,,,,,,
,,,,Fundo Nacional de Desenvolvimento da Educação - FNDE,,,,,,,,,,,,,
,,,,Situação de Atendimento da Entidade,,,,,,,,,,,,,
,,,,"Ano:2023, Programa:PDDE, UF:'DF','GO','MS','MT', Situação:Não Pago Tipo de Relatório: Detalhado por Escola",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ano,Região,UF,Município,Código Município IBGE,CNPJ Município/SEDUC,Nome Escola,Código Escola,Rede Atendimento,Quantidade Alunos,CNPJ Executora,Nome Executora,Programa,Destinação,Valor Custeio,Valor Capital,Valor Total,Data Solicitação
2023,CENTRO OESTE,MS,CORUMBA,5003207,'02585924000122,EE ROTARY CLUB,50000160,ADMINISTRAÇÃO PÚBLICA ESTADUAL,385,'02018406000127,ASSOCIACAO DE PAIS E MESTRES DA EEPPG ROTARY CLUB,PDDE,PDDE Basico - 1 parcela,"2.865,00","1.910,00","4.775,00",
2023,CENTRO OESTE,MS,CORUMBA,5003207,'02585924000122,EE ROTARY CLUB,50000160,ADMINISTRAÇÃO PÚBLICA ESTADUAL,385,'02018406000127,ASSOCIACAO DE PAIS E MESTRES DA EEPPG ROTARY CLUB,PDDE,PDDE Basico - 2 Parcela,"2.865,00","1.910,00","4.775,00",
2023,CENTRO OESTE,MS,PORTO MURTINHO,5006903,'03107539000132,E M CIVICO-MILITAR CLAUDIO DE OLIVEIRA,50000802,ADMINISTRAÇÃO PÚBLICA MUNICIPAL,467,'15385958000115,ASSOCIACAO DE PAIS E MESTRES DA ESC EST C DE OLIVEIRA,PDDE,PDDE Basico - 1 parcela,"4.476,00","1.119,00","5.595,00",
2023,CENTRO OESTE,MS,PORTO MURTINHO,5006903,'03107539000132,E M CIVICO-MILITAR CLAUDIO DE OLIVEIRA,50000802,ADMINISTRAÇÃO PÚBLICA MUNICIPAL,467,'15385958000115,ASSOCIACAO DE PAIS E MESTRES DA ESC EST C DE OLIVEIRA,PDDE,PDDE Basico - 2 Parcela,"4.476,00","1.119,00","5.595,00",
2023,CENTRO OESTE,MS,AQUIDAUANA,5001102,'03452299000103,EM PROF LUIZ MONGELLI,50001833,ADMINISTRAÇÃO PÚBLICA MUNICIPAL,125,'49516059000126,ASSOCIACAO DE PAIS E MESTRES DA EM PROFESSOR LUIZ MONGELLI,PDDE,PDDE Basico - 1 parcela,"1.740,00","435,00","2.175,00",
2023,CENTRO OESTE,MS,AQUIDAUANA,5001102,'03452299000103,EM PROF LUIZ MONGELLI,50001833,ADMINISTRAÇÃO PÚBLICA MUNICIPAL,125,'49516059000126,ASSOCIACAO DE PAIS E MESTRES DA EM PROFESSOR LUIZ MONGELLI,PDDE,PDDE Basico - 2 Parcela,"1.740,00","435,00","2.175,00",
